# Riot Stars main-script translation batch 003
# script_unique.txt lines 53-216 — monster / class / weapon description table
#   (every remaining line ending  ジェムタイプ：<colour>)  plus the クラス７０ placeholder.
# Format:  <count>\t<japanese source message>\t<english replacement>
# The count column is optional and ignored by assemble.py.
# Japanese keys are copied byte-for-byte from script_unique.txt, i.e. without {FFFF}.

21	パーティーアタックが得意な小さな{FFFE}戦士。ジェムタイプ：緑	Ａ　ｓｍａｌｌ　ｗａｒｒｉｏｒ　ｇｏｏｄ　ａｔ{FFFE}ｐａｒｔｙ　ａｔｔａｃｋｓ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｇｒｅｅｎ
21	少しだけパワーＵＰしたホビットの{FFFE}進化型。ジェムタイプ：赤	Ａｎ　ｅｖｏｌｖｅｄ　ｈｏｂｂｉｔ，　ｗｉｔｈ{FFFE}ｓｌｉｇｈｔｌｙ　ｍｏｒｅ　ｐｏｗｅｒ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｒｅｄ
21	破壊活動を好む豚顔の悪鬼。{FFFE}ジェムタイプ：緑	Ａ　ｐｉｇ‐ｆａｃｅｄ　ｆｉｅｎｄ　ｇｉｖｅｎ{FFFE}ｔｏ　ｄｅｓｔｒｕｃｔｉｏｎ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｇｒｅｅｎ
21	経験を積んで成長したオーク。{FFFE}ジェムタイプ：赤	Ａｎ　ｏｒｃ　ｇｒｏｗｎ　ｓｔｒｏｎｇ{FFFE}ｔｈｒｏｕｇｈ　ｅｘｐｅｒｉｅｎｃｅ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｒｅｄ
21	ブラウニーから進化した鬼。{FFFE}ジェムタイプ：赤	Ａｎ　ｏｇｒｅ　ｅｖｏｌｖｅｄ　ｆｒｏｍ　ａ{FFFE}ｂｒｏｗｎｉｅ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｒｅｄ
21	突然変異により生まれる鬼。{FFFE}ジェムタイプ：ランダム	Ａｎ　ｏｇｒｅ　ｂｏｒｎ{FFFE}ｏｆ　ｍｕｔａｔｉｏｎ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｒａｎｄｏｍ
21	強大な力を持つオークの完成型。{FFFE}ジェムタイプ：ランダム	Ｔｈｅ　ｐｅｒｆｅｃｔｅｄ　ｏｒｃ，　ｏｆ{FFFE}ｖａｓｔ　ｐｏｗｅｒ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｒａｎｄｏｍ
21	天をも支える怪力無双の巨人。{FFFE}ジェムタイプ：赤	Ａ　ｇｉａｎｔ　ｗｈｏｓｅ　ｍａｔｃｈｌｅｓｓ{FFFE}ｍｉｇｈｔ　ｕｐｈｏｌｄｓ　ｔｈｅ　ｓｋｙ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｒｅｄ
21	強大な力を持つと言われる伝説の{FFFE}巨人。ジェムタイプ：青	Ａ　ｌｅｇｅｎｄａｒｙ　ｇｉａｎｔ　ｓａｉｄ{FFFE}ｔｏ　ｈｏｌｄ　ｖａｓｔ　ｐｏｗｅｒ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｂｌｕｅ
21	水中での行動を得意とするトカゲ{FFFE}戦士。ジェムタイプ：緑	Ａ　ｌｉｚａｒｄ　ｗａｒｒｉｏｒ，{FFFE}ａｔ　ｈｏｍｅ　ｉｎ　ｔｈｅ　ｗａｔｅｒ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｇｒｅｅｎ
21	ブレスの能力を持つトカゲ戦士。{FFFE}ジェムタイプ：青	Ａ　ｌｉｚａｒｄ　ｗａｒｒｉｏｒ　ｗｉｔｈ　ａ{FFFE}ｂｒｅａｔｈ　ａｔｔａｃｋ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｂｌｕｅ
21	太古の竜人の血を引く亜人種。{FFFE}ジェムタイプ：サイクル	Ａ　ｄｅｍｉ‐ｈｕｍａｎ　ｏｆ　ａｎｃｉｅｎｔ{FFFE}ｄｒａｇｏｎｆｏｌｋ　ｂｌｏｏｄ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｃｙｃｌｅ
21	古の種族、ダークエルフの血を引く{FFFE}魔術師。ジェムタイプ：サイクル	Ａ　ｍａｇｅ　ｏｆ　ａｎｃｉｅｎｔ{FFFE}ｄａｒｋ　ｅｌｆ　ｂｌｏｏｄ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｃｙｃｌｅ
21	ダークメイジが昇格した魔術戦士。{FFFE}ジェムタイプ：サイクル	Ａ　ｐｒｏｍｏｔｅｄ　ｄａｒｋ　ｍａｇｅ，{FFFE}ａ　ｍａｇｅ　ｗａｒｒｉｏｒ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｃｙｃｌｅ
21	暗黒の使者と言われた伝説の剣士。{FFFE}ジェムタイプ：赤	Ａ　ｌｅｇｅｎｄａｒｙ　ｓｗｏｒｄｓｍａｎ{FFFE}ｃａｌｌｅｄ　ｔｈｅ　ｄａｒｋ　ｅｎｖｏｙ．{FFFE}Ｇｅｍ　Ｔｙｐｅ：Ｒｅｄ
